country,year,co2,co2_growth_abs,co2_growth_prct,consumption_co2,cumulative_co2,cumulative_oil_co2,oil_co2,share_global_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,share_global_oil_co2
International transport,1950,128.394,0,0,0,128.394,128.394,128.394,2.139,0.056,0.468,7.789
International transport,1951,153.177,24.783,19.303,0,281.571,281.571,153.177,2.401,0.119,0.965,8.791
International transport,1952,156.156,2.979,1.945,0,437.727,437.727,156.156,2.415,0.18,1.412,8.496
International transport,1953,162.103,5.947,3.808,0,599.83,599.83,162.103,2.438,0.24,1.82,8.304
International transport,1954,162.693,0.59,0.364,0,762.522,762.522,162.693,2.396,0.297,2.177,7.865
International transport,1955,187.091,24.399,14.997,0,949.614,949.614,187.091,2.514,0.359,2.543,8.093
International transport,1956,201.223,14.132,7.554,0,1150.837,1150.837,201.223,2.539,0.423,2.888,8.023
International transport,1957,223.684,22.46,11.162,0,1374.52,1374.52,223.684,2.733,0.49,3.237,8.533
International transport,1958,207.906,-15.777,-7.053,0,1582.427,1582.427,207.906,2.47,0.548,3.501,7.626
International transport,1959,213.369,5.463,2.628,0,1795.796,1795.796,213.369,2.409,0.603,3.733,7.346
International transport,1960,238.099,24.73,11.59,0,2033.895,2033.895,238.099,2.536,0.662,3.97,7.616
International transport,1961,263.218,25.119,10.55,0,2297.114,2297.114,263.218,2.795,0.725,4.212,7.944
International transport,1962,272.902,9.684,3.679,0,2570.015,2570.015,272.902,2.799,0.787,4.423,7.662
International transport,1963,285.688,12.787,4.685,0,2855.704,2855.704,285.688,2.781,0.848,4.613,7.504
International transport,1964,312.975,27.286,9.551,0,3168.679,3168.679,312.975,2.89,0.912,4.8,7.619
International transport,1965,323.291,10.316,3.296,0,3491.969,3491.969,323.291,2.857,0.973,4.958,7.327
International transport,1966,349.818,26.527,8.205,0,3841.788,3841.788,349.818,2.948,1.036,5.109,7.346
International transport,1967,374.27,24.452,6.99,0,4216.057,4216.057,374.27,3.057,1.101,5.252,7.372
International transport,1968,395.87,21.6,5.771,0,4611.927,4611.927,395.87,3.066,1.165,5.375,7.158
International transport,1969,414.403,18.534,4.682,0,5026.331,5026.331,414.403,3.01,1.227,5.477,6.929
International transport,1970,436.856,22.453,5.418,0,5463.187,5463.187,436.856,2.932,1.287,5.542,6.423
International transport,1971,461.31,24.454,5.598,0,5924.497,5924.497,461.31,2.975,1.346,5.601,6.404
International transport,1972,491.919,30.609,6.635,0,6416.415,6416.415,491.919,3.031,1.406,5.651,6.334
International transport,1973,526.631,34.712,7.056,0,6943.045,6943.045,526.631,3.082,1.467,5.702,6.402
International transport,1974,489.085,-37.545,-7.129,0,7432.131,7432.131,489.085,2.874,1.516,5.722,6.032
International transport,1975,447.612,-41.474,-8.48,0,7879.743,7879.743,447.612,2.625,1.553,5.713,5.568
International transport,1976,438.834,-8.778,-1.961,0,8318.577,8318.577,438.834,2.439,1.583,5.68,5.138
International transport,1977,449.02,10.185,2.321,0,8767.597,8767.597,449.02,2.427,1.612,5.645,5.078
International transport,1978,455.752,6.733,1.499,0,9223.35,9223.35,455.752,2.389,1.638,5.608,4.976
International transport,1979,457.396,1.644,0.361,0,9680.745,9680.745,457.396,2.331,1.662,5.572,4.931
International transport,1980,446.415,-10.981,-2.401,0,10127.16,10127.16,446.415,2.289,1.682,5.543,4.987
International transport,1981,412.147,-34.269,-7.676,0,10539.307,10539.307,412.147,2.165,1.697,5.511,4.82
International transport,1982,373.181,-38.966,-9.454,0,10912.487,10912.487,373.181,1.976,1.705,5.467,4.472
International transport,1983,358.303,-14.877,-3.987,0,11270.79,11270.79,358.303,1.885,1.71,5.423,4.337
International transport,1984,359.619,1.316,0.367,0,11630.41,11630.41,359.619,1.829,1.714,5.38,4.318
International transport,1985,367.317,7.697,2.14,0,11997.727,11997.727,367.317,1.807,1.716,5.344,4.411
International transport,1986,393.544,26.228,7.14,0,12391.271,12391.271,393.544,1.908,1.722,5.316,4.589
International transport,1987,527.352,133.808,34.001,0,12918.622,12918.622,527.352,2.479,1.744,5.344,6.093
International transport,1988,545.381,18.03,3.419,0,13464.005,13464.005,545.381,2.467,1.765,5.37,6.078
International transport,1989,565.031,19.649,3.603,0,14029.034,14029.034,565.031,2.521,1.786,5.399,6.189
International transport,1990,550.365,-14.666,-2.596,550.365,14579.399,14579.399,550.365,2.418,1.804,5.418,5.95
International transport,1991,545.247,-5.118,-0.93,545.247,15124.646,15124.646,545.247,2.346,1.819,5.425,5.608
International transport,1992,555.937,10.69,1.961,555.937,15680.584,15680.584,555.937,2.462,1.836,5.444,6.026
International transport,1993,559.592,3.654,0.657,559.592,16240.175,16240.175,559.592,2.453,1.852,5.463,6.061
International transport,1994,586.925,27.333,4.884,586.925,16827.1,16827.1,586.925,2.555,1.87,5.489,6.334
International transport,1995,620.068,33.143,5.647,620.068,17447.168,17447.168,620.068,2.643,1.89,5.523,6.622
International transport,1996,670.945,50.877,8.205,670.945,18118.113,18118.113,670.945,2.777,1.912,5.565,6.958
International transport,1997,705.703,34.758,5.18,705.703,18823.814,18823.814,705.703,2.904,1.937,5.614,7.211
International transport,1998,748.133,42.43,6.013,748.133,19571.949,19571.949,748.133,3.09,1.965,5.67,7.57
International transport,1999,772.921,24.788,3.313,772.921,20344.871,20344.871,772.921,3.125,1.993,5.726,7.643
International transport,2000,783.562,10.641,1.377,783.562,21128.434,21128.434,783.562,3.078,2.02,5.779,7.606
International transport,2001,778.839,-4.724,-0.603,778.839,21907.271,21907.271,778.839,3.034,2.044,5.826,7.496
International transport,2002,797.232,18.393,2.362,797.232,22704.502,22704.502,797.232,3.033,2.068,5.876,7.676
International transport,2003,831.975,34.743,4.358,831.975,23536.479,23536.479,831.975,3.009,2.091,5.927,7.79
International transport,2004,904.371,72.396,8.702,904.37,24440.848,24440.848,904.371,3.158,2.117,5.989,8.19
International transport,2005,942.668,38.297,4.235,942.668,25383.516,25383.516,942.668,3.183,2.144,6.054,8.462
International transport,2006,994.997,52.329,5.551,994.997,26378.514,26378.514,994.997,3.252,2.172,6.127,8.847
International transport,2007,1052.404,57.407,5.77,1052.404,27430.918,27430.918,1052.404,3.34,2.201,6.209,9.327
International transport,2008,1061.553,9.148,0.869,1061.553,28492.473,28492.473,1061.553,3.308,2.229,6.289,9.435
International transport,2009,1016.86,-44.693,-4.21,1016.86,29509.33,29509.33,1016.86,3.222,2.253,6.359,9.247
International transport,2010,1080.785,63.925,6.287,1080.785,30590.115,30590.115,1080.785,3.239,2.278,6.435,9.514
International transport,2011,1108.942,28.157,2.605,1108.942,31699.059,31699.059,1108.942,3.216,2.301,6.512,9.738
International transport,2012,1094.905,-14.038,-1.266,1094.905,32793.961,32793.961,1094.905,3.128,2.322,6.581,9.487
International transport,2013,1111.055,16.15,1.475,1111.055,33905.016,33905.016,1111.055,3.146,2.342,6.649,9.556
International transport,2014,1117.464,6.41,0.577,1117.464,35022.484,35022.484,1117.464,3.141,2.361,6.714,9.568
International transport,2015,1158.395,40.93,3.663,1158.395,36180.879,36180.879,1158.395,3.258,2.382,6.781,9.71
International transport,2016,1170.781,12.387,1.069,1170.781,37351.656,37351.656,1170.781,3.296,2.403,6.846,9.737
International transport,2017,1230.507,59.726,5.101,1230.507,38582.164,38582.164,1230.507,3.409,2.426,6.916,10.051
International transport,2018,1270.691,40.184,3.266,1270.691,39852.855,39852.855,1270.691,3.45,2.449,6.99,10.359
International transport,2019,1249.558,-21.133,-1.663,1249.558,41102.414,41102.414,1249.558,3.37,2.469,7.057,10.121
International transport,2020,938.509,-311.05,-24.893,938.509,42040.922,42040.922,938.509,2.661,2.473,7.082,8.386
International transport,2021,1021.749,83.241,8.869,1021.749,43062.672,43062.672,1021.749,2.752,2.479,7.112,8.632
